nNodes,nFlows,pktPerSec,areaFactor,throughput_mbps,delay_ms,pdr_pct,pdrop_pct,energy_j
40,10,100,1,0.487166,169.697,18.5277,73.344,2148.41
40,10,100,2,0.304661,201.835,16.9142,77.464,2116.09
40,10,100,3,0.232713,154.255,9.07598,88.7694,2044.25
40,10,100,4,0,0,0,98.877,1967.32
40,10,100,5,0,0,0,98.877,1966.85
