nNodes,nFlows,pktPerSec,areaFactor,throughput_mbps,delay_ms,pdr_pct,pdrop_pct,energy_j
20,10,100,1,0.25657,253.406,30.3209,57.6231,1068.69
40,10,100,1,0.249882,181.45,26.9593,64.2845,2119.05
60,10,100,1,0.25758,192.851,24.8044,63.3215,3167.56
80,10,100,1,0.193481,92.6915,17.2115,74.9569,4203.23
100,10,100,1,0.285983,122.674,25.3432,64.0582,5245.56
